Dates,Target Price,Last Price,Buy %,Hold %,Sell %,Price Spread
2015-09-12 00:00:00,20.321399688720703,19.9,0.25,0.375,0.375,0.42139968872070455
2015-10-12 00:00:00,20.63159942626953,22.09,0.14285714285714285,0.42857142857142855,0.42857142857142855,-1.4584005737304686
2015-11-12 00:00:00,20.875,22.24,0.14285714285714285,0.42857142857142855,0.42857142857142855,-1.3649999999999984
2015-12-12 00:00:00,21.797800064086914,22.18,0.2857142857142857,0.2857142857142857,0.42857142857142855,-0.38219993591308565
2016-01-12 00:00:00,22.52983283996582,20.75,0.375,0.25,0.375,1.7798328399658203
2016-02-12 00:00:00,23.017166137695312,22.24,0.375,0.25,0.375,0.7771661376953141
2016-03-12 00:00:00,22.98383331298828,25.35,0.375,0.25,0.375,-2.36616668701172
2016-04-12 00:00:00,24.846599578857422,25.57,0.375,0.25,0.375,-0.7234004211425784
2016-05-12 00:00:00,24.757999420166016,22.99,0.375,0.25,0.375,1.7679994201660172
2016-06-12 00:00:00,25.45800018310547,25.86,0.375,0.25,0.375,-0.4019998168945307
2016-07-12 00:00:00,25.718000411987305,26.97,0.375,0.375,0.25,-1.2519995880126942
2016-08-12 00:00:00,27.148000717163086,29.24,0.375,0.375,0.25,-2.0919992828369125
2016-09-12 00:00:00,27.148000717163086,28.99,0.375,0.375,0.25,-1.8419992828369125
2016-10-12 00:00:00,27.934249877929688,31.35,0.375,0.5,0.125,-3.415750122070314
2016-11-12 00:00:00,30.62220001220703,29.93,0.25,0.75,0,0.6922000122070315
2016-12-12 00:00:00,30.62220001220703,29.9,0.25,0.75,0,0.7222000122070327
2017-01-12 00:00:00,30.878000259399414,29.29,0.25,0.75,0,1.588000259399415
2017-02-12 00:00:00,30.84749984741211,30.71,0.25,0.75,0,0.13749984741210852
2017-03-12 00:00:00,32.80999755859375,31.06,0.375,0.625,0,1.7499975585937513
2017-04-12 00:00:00,31.847599029541016,32.28,0.375,0.625,0,-0.4324009704589855
2017-05-12 00:00:00,31.322999954223633,35.37,0.4444444444444444,0.5555555555555556,0,-4.047000045776365
2017-06-12 00:00:00,31.077600479125977,35.24,0.4444444444444444,0.5555555555555556,0,-4.162399520874025
2017-07-12 00:00:00,32.8033332824707,35.69,0.25,0.75,0,-2.8866667175292946
2017-08-12 00:00:00,33.970001220703125,36.14,0.25,0.75,0,-2.1699987792968756
2017-09-12 00:00:00,33.970001220703125,37.86,0.25,0.75,0,-3.8899987792968744
2017-10-12 00:00:00,34.08399963378906,40.44,0.25,0.625,0.125,-6.356000366210935
2017-11-12 00:00:00,39.619998931884766,41.72,0.25,0.75,0,-2.1000010681152332
2017-12-12 00:00:00,39.619998931884766,39.3,0.25,0.75,0,0.31999893188476847
2018-01-12 00:00:00,38.016666412353516,41.19,0.25,0.75,0,-3.173333587646482
2018-02-12 00:00:00,40.753143310546875,42.53,0.5555555555555556,0.4444444444444444,0,-1.7768566894531261
2018-03-12 00:00:00,41.038856506347656,45.22,0.5555555555555556,0.4444444444444444,0,-4.181143493652343
2018-04-12 00:00:00,41.24100112915039,43.85,0.5555555555555556,0.4444444444444444,0,-2.608998870849611
2018-05-12 00:00:00,40.31985855102539,39.91,0.5555555555555556,0.4444444444444444,0,0.40985855102539404
2018-06-12 00:00:00,40.31985855102539,39.2,0.5555555555555556,0.4444444444444444,0,1.1198585510253878
2018-07-12 00:00:00,42.034141540527344,37.31,0.6666666666666666,0.3333333333333333,0,4.7241415405273415
2018-08-12 00:00:00,41.96885681152344,41.03,0.6666666666666666,0.3333333333333333,0,0.9388568115234364
2018-09-12 00:00:00,42.397430419921875,43.94,0.75,0.25,0,-1.5425695800781227
2018-10-12 00:00:00,42.96885681152344,39.66,0.75,0.25,0,3.308856811523441
2018-11-12 00:00:00,44.74440002441406,37.06,0.7142857142857143,0.14285714285714285,0.14285714285714285,7.68440002441406
2018-12-12 00:00:00,43.31999969482422,37.38,0.6666666666666666,0.16666666666666666,0.16666666666666666,5.939999694824216
