Dates,Target Price,Last Price,Buy %,Hold %,Sell %,Price Spread
2015-09-12 00:00:00,31.88800048828125,26.02,0.5,0.375,0.125,5.86800048828125
2015-10-12 00:00:00,31.507143020629883,27.96,0.5348837209302325,0.3488372093023256,0.11627906976744186,3.547143020629882
2015-11-12 00:00:00,31.00666618347168,27.83,0.5454545454545454,0.3409090909090909,0.11363636363636363,3.1766661834716814
2015-12-12 00:00:00,31.106250762939453,26.16,0.5454545454545454,0.3409090909090909,0.11363636363636363,4.946250762939453
2016-01-12 00:00:00,31.206451416015625,25.35,0.5609756097560976,0.36585365853658536,0.07317073170731707,5.856451416015624
2016-02-12 00:00:00,29.07741928100586,25.11,0.575,0.375,0.05,3.96741928100586
2016-03-12 00:00:00,29.0625,27.86,0.6097560975609756,0.34146341463414637,0.04878048780487805,1.2025000000000006
2016-04-12 00:00:00,29.564516067504883,27.64,0.575,0.4,0.025,1.9245160675048822
2016-05-12 00:00:00,29.52083396911621,26.67,0.575,0.4,0.025,2.8508339691162092
2016-06-12 00:00:00,30.991378784179688,29.03,0.575,0.4,0.025,1.9613787841796864
2016-07-12 00:00:00,31.0625,29.61,0.5641025641025641,0.41025641025641024,0.02564102564102564,1.4525000000000006
2016-08-12 00:00:00,31.69444465637207,30.87,0.5789473684210527,0.39473684210526316,0.02631578947368421,0.8244446563720693
2016-09-12 00:00:00,33.19230651855469,31.44,0.5675675675675675,0.40540540540540543,0.02702702702702703,1.7523065185546862
2016-10-12 00:00:00,33.153846740722656,30.34,0.5675675675675675,0.40540540540540543,0.02702702702702703,2.8138467407226564
2016-11-12 00:00:00,33.36000061035156,31.36,0.5833333333333334,0.3888888888888889,0.027777777777777776,2.000000610351563
2016-12-12 00:00:00,33.153846740722656,30.17,0.5675675675675675,0.40540540540540543,0.02702702702702703,2.9838467407226545
2017-01-12 00:00:00,32.92307662963867,30.04,0.5675675675675675,0.40540540540540543,0.02702702702702703,2.8830766296386727
2017-02-12 00:00:00,33.08000183105469,31.51,0.5833333333333334,0.3888888888888889,0.027777777777777776,1.570001831054686
2017-03-12 00:00:00,35.592594146728516,34.26,0.5675675675675675,0.40540540540540543,0.02702702702702703,1.3325941467285176
2017-04-12 00:00:00,35.58620834350586,32.62,0.5526315789473685,0.42105263157894735,0.02631578947368421,2.966208343505862
